abbreviation,id
HUS,1610610035
BOM,1610610034
BOS,1610612738
CHS,1610610025
WAS,1610612764
NYK,1610612752
PIT,1610610031
DEF,1610610028
CLR,1610610026
PRO,1610610032
PHW,1610612744
BAL,1610610024
JET,1610610029
MNL,1610612747
FTW,1610612765
ROC,1610612758
DN,1610610027
INO,1610610030
AND,1610610023
SHE,1610610033
TCB,1610612737
WAT,1610610037
SYR,1610612755
EST,1610616833
MIH,1610612737
WST,1610616834
STL,1610612737
CIN,1610612758
DET,1610612765
LAL,1610612747
CHZ,1610612764
SFW,1610612744
PHL,1610612755
BLT,1610612764
SEA,1610612760
CHI,1610612741
SDR,1610612745
PHX,1610612756
ATL,1610612737
MIL,1610612749
HOU,1610612745
POR,1610612757
CLE,1610612739
BUF,1610612746
GOS,1610612744
KCK,1610612758
CAP,1610612764
NOJ,1610612762
DEN,1610612743
IND,1610612754
SAN,1610612759
NJN,1610612751
SDC,1610612746
UTH,1610612762
DAL,1610612742
LAC,1610612746
SAC,1610612758
CHH,1610612766
MIA,1610612748
ORL,1610612753
MIN,1610612750
TOR,1610612761
VAN,1610612763
GSW,1610612744
PHI,1610612755
SAS,1610612759
UTA,1610612762
MEM,1610612763
NOH,1610612740
CHA,1610612766
NOK,1610612740
PHO,1610612756
BAR,12304
TEL,12303
MOS,12308
EPT,12309
LRO,12317
ZAK,12316
OKC,1610612760
RMA,12315
MTA,41
LAB,95
FBU,12321
RMD,12315
FCB,12304
BKN,1610612751
MAC,93
NOP,1610612740
UBB,12324
FLA,12325
FEN,12321
SDS,12329
SLA,12330
GUA,15018
MEL,15016
BNE,15017
STP,1610616834
AST,1610616833
GNS,1610616833
DRT,1610616833
MRA,50009
ADL,15019
LBN,1610616834
